2018-04-24 08:57:24 - Begin Training............
2018-04-24 09:17:36 -   95 - over - loss: 0.3768, acc: 100.00 | val_loss: 0.6217, val_acc: 89.90, MPCE:0.1016 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:17:49 -   96 - over - loss: 0.3772, acc: 100.00 | val_loss: 0.5834, val_acc: 92.22, MPCE:0.0783 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:18:01 -   97 - over - loss: 0.3775, acc: 100.00 | val_loss: 0.5669, val_acc: 92.57, MPCE:0.0748 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:18:14 -   98 - over - loss: 0.3909, acc: 100.00 | val_loss: 0.5696, val_acc: 92.33, MPCE:0.0771 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:18:26 -   99 - over - loss: 0.3727, acc: 100.00 | val_loss: 0.5827, val_acc: 91.75, MPCE:0.0829 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:18:39 -  100 - over - loss: 0.3915, acc: 100.00 | val_loss: 0.6230, val_acc: 89.31, MPCE:0.1075 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:18:51 -  101 - over - loss: 0.3680, acc: 100.00 | val_loss: 0.6766, val_acc: 85.13, MPCE:0.1495 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:19:04 -  102 - over - loss: 0.3647, acc: 100.00 | val_loss: 0.7287, val_acc: 81.77, MPCE:0.1834 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:19:16 -  103 - over - loss: 0.5903, acc: 86.96 | val_loss: 0.8696, val_acc: 65.16, MPCE:0.3505 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:19:29 -  104 - over - loss: 0.3586, acc: 100.00 | val_loss: 1.1281, val_acc: 50.52, MPCE:0.4977 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:19:41 -  105 - over - loss: 0.3630, acc: 100.00 | val_loss: 1.3900, val_acc: 50.29, MPCE:0.5000 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:19:54 -  106 - over - loss: 0.3818, acc: 100.00 | val_loss: 1.5564, val_acc: 50.29, MPCE:0.5000 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:20:06 -  107 - over - loss: 0.3834, acc: 100.00 | val_loss: 1.6190, val_acc: 50.29, MPCE:0.5000 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:20:19 -  108 - over - loss: 0.3871, acc: 100.00 | val_loss: 1.6239, val_acc: 50.29, MPCE:0.5000 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:20:31 -  109 - over - loss: 0.3811, acc: 100.00 | val_loss: 1.6022, val_acc: 50.29, MPCE:0.5000 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:20:44 -  110 - over - loss: 0.3719, acc: 100.00 | val_loss: 1.5496, val_acc: 50.29, MPCE:0.5000 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:20:57 -  111 - over - loss: 0.3644, acc: 100.00 | val_loss: 1.4562, val_acc: 50.29, MPCE:0.5000 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:21:09 -  112 - over - loss: 0.4097, acc: 100.00 | val_loss: 1.5506, val_acc: 50.52, MPCE:0.4977 | best_acc: 100.00, best_mpce:0.0000
2018-04-24 09:21:21 -  113 - over - loss: 0.3854, acc: 100.00 | val_loss: 1.8431, val_acc: 50.29, MPCE:0.5000 | best_acc: 100.00, best_mpce:0.0000
